,uid,tic,passed,buffer_size,use_contextlib
154,154,1712730825.4088202,0.13483929634094238,3,True
155,155,1712730825.4851494,0.05851006507873535,3,True
156,156,1712730825.5436594,0.14396429061889648,3,True
157,157,1712730825.574774,0.11402511596679688,3,True
158,158,1712730825.672771,0.0171051025390625,3,True
159,159,1712730825.6913066,0.1260242462158203,3,True
160,160,1712730825.7022429,0.11508798599243164,3,True
161,161,1712730825.7797008,0.03763008117675781,3,True
162,162,1712730825.8173308,0.1441657543182373,3,True
163,163,1712730825.8608813,0.10061526298522949,3,True
164,164,1712730825.9135716,0.04792499542236328,3,True
165,165,1712730825.9614966,0.1283109188079834,3,True
166,166,1712730825.976005,0.11380243301391602,3,True
167,167,1712730826.019318,0.07048940658569336,3,True
168,168,1712730826.093443,0.15910792350769043,3,True
169,169,1712730826.1688204,0.08630752563476562,3,True
170,170,1712730826.234507,0.021993398666381836,3,True
171,171,1712730826.2565005,0.20589995384216309,3,True
172,172,1712730826.3288414,0.133558988571167,3,True
173,173,1712730826.430129,0.032271385192871094,3,True
174,174,1712730826.4624004,0.19901585578918457,3,True
175,175,1712730826.5674345,0.09499359130859375,3,True
176,176,1712730826.6340506,0.028377532958984375,3,True
177,177,1712730826.6634164,0.12099218368530273,3,True
178,178,1712730826.7211702,0.06524991989135742,3,True
179,179,1712730826.7670085,0.019411563873291016,3,True
180,180,1712730826.78642,0.192277193069458,3,True
181,181,1712730826.8704314,0.10826587677001953,3,True
182,182,1712730826.8920944,0.09064388275146484,3,True
183,183,1712730827.9125712,2.43612003326416,45,False
184,184,1712730827.9237378,2.4249534606933594,45,False
185,185,1712730827.9461603,2.4025309085845947,45,False
186,186,1712730828.033378,2.3196966648101807,45,False
187,187,1712730828.134194,2.219890594482422,45,False
188,188,1712730828.1975973,2.156487226486206,45,False
189,189,1712730828.2685351,2.0865402221679688,45,False
190,190,1712730828.282475,2.0726003646850586,45,False
191,191,1712730828.379349,1.9767251014709473,45,False
192,192,1712730828.4568205,1.8992536067962646,45,False
193,193,1712730828.4720492,1.885024070739746,45,False
194,194,1712730828.5668132,1.7909770011901855,45,False
195,195,1712730828.588663,1.7691271305084229,45,False
196,196,1712730828.6339955,1.72379469871521,45,False
197,197,1712730828.6917741,1.6660161018371582,45,False
198,198,1712730828.724219,1.6335711479187012,45,False
199,199,1712730828.7417195,1.6160707473754883,45,False
200,200,1712730828.8308196,1.526970624923706,45,False
201,201,1712730828.9154966,1.442293643951416,45,False
202,202,1712730828.9486701,1.4126338958740234,45,False
203,203,1712730829.0375853,1.323718786239624,45,False
204,204,1712730829.039061,1.3222429752349854,45,False
205,205,1712730829.080619,1.2821018695831299,45,False
206,206,1712730829.1321115,1.23060941696167,45,False
207,207,1712730829.1641786,1.1999437808990479,45,False
208,208,1712730829.2204342,1.1441941261291504,45,False
209,209,1712730829.3084457,1.056182622909546,45,False
210,210,1712730829.3804238,0.9842045307159424,45,False
211,211,1712730829.3999774,0.9661543369293213,45,False
212,212,1712730829.465356,0.900775671005249,45,False
213,213,1712730829.5388744,0.8282628059387207,45,False
214,214,1712730829.608013,0.759742259979248,45,False
215,215,1712730829.6510663,0.716688871383667,45,False
216,216,1712730829.7221088,0.645646333694458,45,False
